gene,beta,HR (95% CI for HR),wald.test,p.value
212451_at,0.26682137829299457,1.3058071799905488 (0.8646329384455467 - 1.9720881723293915),1.2684849154888096,0.20462483423113903
212452_x_at,-0.2602149993866671,0.7708858280050809 (0.5474360729888796 - 1.085542201438287),-1.4899798224084293,0.13622954144576846
212453_at,0.026046011685565782,1.0263881732368838 (0.5420865676795088 - 1.9433661429208833),0.07996741448575687,0.9362631724191647
212454_x_at,-0.21954731090814553,0.8028821717097847 (0.5828874351764215 - 1.1059078352826635),-1.3438044087069647,0.1790116434936274
212455_at,-0.31709564531726353,0.7282610970308433 (0.34969795994488617 - 1.516635171483857),-0.8471982907902947,0.39688460606199727
212456_at,0.08585672220679093,1.0896501944449084 (0.6816290166446523 - 1.7419116810762345),0.3587009035336941,0.7198188523894955
212457_at,0.13753553673988828,1.147442481612557 (0.6573735283366189 - 2.0028555940496955),0.4839247845579124,0.6284392501494874
212458_at,-0.16120074041609964,0.8511211995335639 (0.6262609771297436 - 1.1567179223197488),-1.0298587516372035,0.303076316269732
212459_x_at,-0.7036640864425449,0.4947691017048972 (0.29572407035766235 - 0.827786739529869),-2.679719741935464,0.007368382294049506
212460_at,0.016541984879811573,1.0166795610591801 (0.6927269270468378 - 1.4921281236778012),0.08450601414779817,0.9326541213492453
212461_at,0.16080676678476408,1.1744580025898712 (0.7557817551393439 - 1.8250660200087496),0.7149926362378966,0.47461359347309406
212462_at,-0.2300927165705348,0.7944599394874792 (0.5542918424276561 - 1.1386900313850936),-1.2528041376313368,0.21027699548464693
212463_at,-0.29876712460059385,0.7417321204879632 (0.504153933627166 - 1.091266975951896),-1.5166095111381706,0.12936530262050466
212464_s_at,0.31811461151443904,1.3745337895993797 (1.0060515823008973 - 1.8779783979161349),1.9978552013708377,0.0457323606654698
212465_at,-0.21403890828538172,0.8073169730924107 (0.37460566661281747 - 1.7398580777923331),-0.5463471699294282,0.5848273177116511
212466_at,-0.09165881887903632,0.9124163956950849 (0.7378020409965116 - 1.1283564328566906),-0.8457170484687094,0.39771061017202547
212467_at,0.09562549739581935,1.100346904040243 (0.6577447624442255 - 1.8407798562038968),0.3642357349280421,0.7156819844350927
212468_at,-0.03134400383044301,0.9691421271219979 (0.6440822490412736 - 1.4582554696401253),-0.15035584395038448,0.8804838765910326
212469_at,-0.24635691323216166,0.7816431963343403 (0.5547470889290986 - 1.1013416718512077),-1.4081957407794128,0.1590731171241764
212470_at,0.15048185201012237,1.1623942097933642 (0.7277988055189812 - 1.856502495902902),0.6299255539576841,0.5287432928844431
212471_at,0.37848789813811506,1.460075137063441 (1.0405938169596192 - 2.0486566142585034),2.1902291091843633,0.028507625134864576
212472_at,0.15319054392651496,1.1655470456959554 (0.8031687141648802 - 1.6914253403696287),0.8062922859353442,0.4200743373640019
212473_s_at,0.08926164882391117,1.0933666970139708 (0.7639987959240218 - 1.5647285578420278),0.48807160857024934,0.6254991203802516
212474_at,0.36887077046380334,1.4461007126746885 (0.8067896941736205 - 2.592010391679862),1.2388952072126993,0.2153843088452085
212475_at,0.360279209299083,1.4337296693363621 (0.9641380262956538 - 2.1320399244423207),1.779572160960596,0.0751460055971351
212476_at,0.41314897103001175,1.5115701893302054 (0.8999915462333027 - 2.538739887984968),1.56167332570701,0.1183649657609319
212477_at,0.16828167383965315,1.1832698598765898 (0.921445748726473 - 1.519489957197671),1.3188132164306676,0.18723156469527488
