gene,beta,HR (95% CI for HR),wald.test,p.value,Gene Symbol,HR,CI Lower,CI Upper
208002_s_at,0.45319578639691305,1.5733321934027054 (1.1099148211680427 - 2.2302379818591436),2.545759723393947,0.01090402141768249,ACOT7,1.5733321934027054,1.1099148211680427,2.2302379818591436
217310_s_at,0.6762274878014496,1.9664452827251622 (1.1680001461333005 - 3.310707676496064),2.5442384343989586,0.01095162996436164,FOXJ3,1.9664452827251622,1.1680001461333005,3.310707676496064
202654_x_at,0.7538848083673325,2.125240151299786 (1.188311740641355 - 3.8008929359386916),2.5416427067778065,0.01103328952937496,MARCH7,2.125240151299786,1.188311740641355,3.8008929359386916
201266_at,0.7039660721787578,2.0217552549090287 (1.1744955715606162 - 3.4802126204026425),2.54037700407316,0.01107330340215878,TXNRD1,2.0217552549090287,1.1744955715606162,3.4802126204026425
210516_at,0.28528316534175474,1.3301386239575472 (1.0672565093267663 - 1.65777275048877),2.5393528725006864,0.01110577455918861,FAM120A,1.3301386239575472,1.0672565093267663,1.65777275048877
200021_at,1.154038932092418,3.170974430859403 (1.3011892842631017 - 7.727606554075318),2.5392632182825823,0.011108621161820514,CFL1,3.170974430859403,1.3011892842631017,7.727606554075318
220125_at,0.30409157133227893,1.3553931655650826 (1.0713695005253105 - 1.714712461349496),2.5345473520353505,0.011259270876447855,DNAI1,1.3553931655650826,1.0713695005253105,1.714712461349496
209126_x_at,0.29484827081355003,1.342922582676349 (1.0689280134328607 - 1.6871492190296022),2.532481592103789,0.011325831639730817,KRT6B,1.342922582676349,1.0689280134328607,1.6871492190296022
219395_at,0.4778735589691716,1.6126415664301437 (1.1140110789448243 - 2.3344586700533814),2.5320318373114383,0.011340369396594696,ESRP2 /// MIR6773,1.6126415664301437,1.1140110789448243,2.3344586700533814
211237_s_at,0.18875556312089137,1.2077456988095547 (1.0434670740748018 - 1.3978875895881075),2.530350407549063,0.011394866349747373,FGFR4,1.2077456988095547,1.0434670740748018,1.3978875895881075
212898_at,0.5481944527445426,1.7301263711415846 (1.1314511442519688 - 2.6455735851489366),2.529922219022426,0.011408781488802476,TTI1,1.7301263711415846,1.1314511442519688,2.6455735851489366
218834_s_at,0.40588702519328723,1.500633009156983 (1.09559991885075 - 2.0554030622179256),2.528804935828348,0.011445161670684989,TMEM132A,1.500633009156983,1.09559991885075,2.0554030622179256
203350_at,0.5767788563776562,1.7802946002674513 (1.1381270919840096 - 2.7847934436007384),2.5267742658944705,0.011511546627350473,AP1G1,1.7802946002674513,1.1381270919840096,2.7847934436007384
217515_s_at,0.30445362573150664,1.3558839804688445 (1.0706681122131667 - 1.7170786609978106),2.5266384404680546,0.011515999086608499,CACNA1S,1.3558839804688445,1.0706681122131667,1.7170786609978106
216641_s_at,0.4089344802666068,1.505213096093917 (1.0958817227924762 - 2.067437039536864),2.5253920790731326,0.011556927157221874,LAD1,1.505213096093917,1.0958817227924762,2.067437039536864
210095_s_at,0.3631958776902529,1.4379174876141996 (1.0842773507880075 - 1.9068983592473654),2.521770656725811,0.011676580919991261,IGFBP3,1.4379174876141996,1.0842773507880075,1.9068983592473654
215394_at,0.5095422533763213,1.6645290879632142 (1.1200367715728674 - 2.4737197518835177),2.5207799681719676,0.01170950467638861,PIK3C3,1.6645290879632142,1.1200367715728674,2.4737197518835177
208373_s_at,0.46081083166132786,1.5853589231992924 (1.1078952461265466 - 2.268592562478183),2.520373045460771,0.011723051864272761,P2RY6,1.5853589231992924,1.1078952461265466,2.268592562478183
201143_s_at,0.5194840085843504,1.6811599617497748 (1.1222563948123887 - 2.5184074067699886),2.5193326957488726,0.011757750204054916,EIF2S1,1.6811599617497748,1.1222563948123887,2.5184074067699886
205184_at,0.25685392723066525,1.2928562618711574 (1.05868314610397 - 1.5788267906319464),2.5192874800702296,0.011759260326727446,GNG4,1.2928562618711574,1.05868314610397,1.5788267906319464
